DateTimeUTC,FieldRef,UserRef,Comment
2017-09-13 13:20:23.215982,12345780,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:22:01.470307,9871601,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:22:01.470307,9871520,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:22:01.852084,9871601,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:22:01.852084,9871520,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:22:02.933241,9871601,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:22:03.168861,9871601,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:22:09.285136,9871601,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:22:09.285136,9871520,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:22:09.285136,9871459,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:22:09.660932,9871601,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:22:09.660932,9871520,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:22:09.660932,9871459,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:22:31.013149,9871601,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:22:31.332179,9871601,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:22:31.689997,9871601,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:22:31.689997,9871520,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:22:32.288902,9871601,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:22:32.288902,9871520,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:22:33.554150,9871601,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:22:33.554150,9871520,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:22:33.554150,9871459,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:22:33.815312,9871601,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:22:33.815312,9871520,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:22:33.815312,9871459,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:22:35.150727,9871601,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:34:07.739714,10085963,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:34:07.990211,10085963,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:37:11.378415,10085838,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:37:11.768900,10085838,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:37:20.336537,10085838,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:37:20.336537,10085923,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:37:21.323691,10085838,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:37:21.323691,10085923,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:37:31.357068,10085838,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:37:31.357068,10085923,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:37:31.357068,10085952,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:37:31.847474,10085838,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:37:31.847474,10085923,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:37:31.847474,10085952,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:38:16.123061,10085923,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:38:16.123061,10085952,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:38:16.483924,10085923,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:38:16.483924,10085952,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:38:24.363758,10085952,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:38:24.742824,10085952,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:38:28.699576,10085923,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:38:28.699576,10085952,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:39:40.676641,10085838,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:39:40.676641,10085923,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:39:40.676641,10085952,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:39:42.595064,10085838,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:39:42.595064,10085923,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:39:42.595064,10085952,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:39:43.581415,10085838,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:39:43.581415,10085923,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:39:43.581415,10085952,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:39:44.815833,10085838,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:39:44.815833,10085923,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:39:44.815833,10085952,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:39:47.430597,10085838,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:39:47.430597,10085923,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:39:47.430597,10085952,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:39:48.554544,10085838,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:39:48.554544,10085923,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:39:48.554544,10085952,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:40:06.698651,10085838,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:40:06.698651,10085923,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:40:06.698651,10085952,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:40:10.906640,10085838,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:40:10.906640,10085923,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:40:10.906640,10085952,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:40:14.045486,10085838,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:40:14.045486,10085923,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:40:14.045486,10085952,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:40:15.551271,10085838,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:40:15.551271,10085923,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:40:15.551271,10085952,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:53:27.927702,9869890,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:53:27.927702,9869893,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:53:27.927702,9869896,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:53:28.181843,9869890,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:53:28.181843,9869893,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:53:28.181843,9869896,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:55:01.064870,12345780,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:55:01.122753,12345780,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient phone number accessed.
2017-09-13 13:55:36.545740,12345780,UserDirectory=QMI-QS-AAI; UserId=qlik,Field: name - Patient name accessed.
2017-09-13 13:55:36.545740,27850483,UserDirectory=QMI-QS-AAI; UserId=qlik,Field: name - Patient name accessed.
2017-09-13 13:55:36.565462,12345780,UserDirectory=QMI-QS-AAI; UserId=qlik,Field: name - Patient name accessed.
2017-09-13 13:55:36.565462,27850483,UserDirectory=QMI-QS-AAI; UserId=qlik,Field: name - Patient name accessed.
2017-09-13 13:55:36.621832,12345780,UserDirectory=QMI-QS-AAI; UserId=qlik,Field: phone - Patient phone accessed.
2017-09-13 13:55:36.621832,27850483,UserDirectory=QMI-QS-AAI; UserId=qlik,Field: phone - Patient phone accessed.
2017-09-13 13:55:36.821606,12345780,UserDirectory=QMI-QS-AAI; UserId=qlik,Field: phone - Patient phone accessed.
2017-09-13 13:55:36.821606,27850483,UserDirectory=QMI-QS-AAI; UserId=qlik,Field: phone - Patient phone accessed.
2017-09-13 13:59:19.832263,9869890,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:59:20.768372,9869890,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:59:20.768372,9869893,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
